p	chaves	676	675
v	2539		0.0000	0.0000	0.0000	0
v	1851		0.0051	0.0153	0.0000	0
v	3408		0.0064	0.0192	0.0000	0
v	2480		0.0000	0.0000	0.0000	0
v	1103		0.0034	0.0104	0.0000	0
v	1105		0.0093	0.0281	0.0000	0
v	1220		0.0080	0.0242	0.0000	0
v	374		0.0082	0.0247	0.0000	0
v	1075		0.0026	0.0079	0.0000	0
v	1425		0.0000	0.0000	0.0000	0
v	2595		0.0549	0.1652	0.0000	0
v	349		0.0486	0.1465	0.0000	0
v	220		0.0020	0.0059	0.0000	35
v	780		0.0000	0.0000	0.0000	0
v	1527		0.0115	0.0345	0.0000	28
v	3119		0.0064	0.0192	0.0000	0
v	2751		0.0023	0.0069	0.0000	0
v	1883		0.0000	0.0000	0.0000	0
v	3694		0.0201	0.0607	0.0000	1
v	3693		0.0093	0.0281	14.9425	0
v	3120		0.0172	0.0518	0.0000	0
v	3121		0.0234	0.0705	0.0000	0
v	1011		0.0296	0.0893	0.0000	0
v	67		0.0013	0.0039	0.0000	0
v	779		0.0000	0.0000	0.0000	0
v	2761		0.0116	0.0350	0.0000	0
v	2762		0.0002	0.0005	3.4483	72
v	1010		0.0095	0.0286	0.0000	8
v	1594		0.0023	0.0069	0.0000	0
v	472		0.0000	0.0000	0.0000	0
v	4119		0.0372	0.1120	1.1494	50
v	3451		0.0192	0.0577	0.0000	2
v	388		0.0026	0.0079	0.0000	0
v	1882		0.0000	0.0000	0.0000	37
v	1528		0.0103	0.0311	0.0000	0
v	1459		0.0067	0.0202	8.0460	0
v	408		0.0513	0.1544	0.0000	0
v	404		0.0410	0.1233	0.0000	0
v	2756		0.0095	0.0286	0.0000	0
v	2757		0.0059	0.0178	0.0000	41
v	782		0.0033	0.0099	0.0000	0
v	1670		0.0000	0.0000	0.0000	0
v	3078		0.0257	0.0774	11.4943	0
v	2445		0.0238	0.0715	0.0000	0
v	2440		0.0069	0.0207	0.0000	0
v	3597		0.0072	0.0217	0.0000	0
v	3596		0.0070	0.0212	0.0000	0
v	999		0.0172	0.0518	1.1494	12
v	1000		0.0038	0.0113	0.0000	0
v	1534		0.0110	0.0330	0.0000	30
v	3370		0.0051	0.0153	0.0000	0
v	597		0.0067	0.0202	0.0000	109
v	2452		0.0000	0.0000	0.0000	0
v	898		0.0588	0.1771	0.0000	0
v	799		0.0524	0.1578	1.1494	25
v	1865		0.0604	0.1820	0.0000	0
v	576		0.0182	0.0547	0.0000	0
v	2503		0.0000	0.0000	0.0000	0
v	3312		0.0195	0.0587	0.0000	0
v	2996		0.0092	0.0276	0.0000	0
v	1364		0.0082	0.0247	0.0000	78
v	2194		0.0116	0.0350	0.0000	0
v	686		0.0031	0.0094	0.0000	0
v	3616		0.0016	0.0049	0.0000	0
v	332		0.0000	0.0000	0.0000	0
v	2822		0.0131	0.0395	0.0000	2
v	1791		0.0246	0.0740	12.6437	0
v	1789		0.0228	0.0686	11.4943	0
v	2583		0.0079	0.0237	17.2414	25
v	3618		0.0157	0.0473	0.0000	0
v	2197		0.0164	0.0493	0.0000	0
v	2312		0.0169	0.0508	0.0000	0
v	3750		0.0015	0.0044	0.0000	0
v	3747		0.0159	0.0478	6.8966	0
v	4096		0.0090	0.0271	36.7816	0
v	4097		0.0056	0.0168	0.0000	0
v	4101		0.0170	0.0513	0.0000	9
v	3027		0.0029	0.0089	32.1839	1
v	2343		0.0249	0.0750	21.8391	0
v	2338		0.0260	0.0784	0.0000	0
v	601		0.0023	0.0069	0.0000	0
v	608		0.0061	0.0182	0.0000	46
